trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,dist_hybrid_rew,dist_hybrid_rew,dist_hybrid_rew,full_hybrid_rew,full_hybrid_rew,full_hybrid_rew
0,0,0.4163265306122449,0.4163265306122449,0.0,0.5314285714285715,0.5314285714285715,0.0,0.5756097560975609,0.6536585365853659,0.3333333333333333,0,0,0,0.4204081632653061,0.4204081632653061,0.0
1,0,0.33695652173913043,0.33695652173913043,0.0,0.5564516129032258,0.5564516129032258,0.0,0.44607843137254904,0.44607843137254904,0.0,0,0,0,0.5172413793103449,0.5172413793103449,0.0
2,0,0.3469387755102041,0.3469387755102041,0.0,0.38222222222222224,0.38222222222222224,0.0,0.41081081081081083,0.41081081081081083,0.0,0,0,0,0.4,0.5209302325581395,0.3333333333333333
3,0,0.4166666666666667,0.4166666666666667,0.0,0.413265306122449,0.5459183673469388,0.3333333333333333,0.5568181818181818,0.5568181818181818,0.0,0,0,0,0.4166666666666667,0.4166666666666667,0.0
4,0,0.5660377358490566,0.5660377358490566,0.0,0.2570281124497992,0.3654618473895582,0.3333333333333333,0.5523012552301255,0.5523012552301255,0.0,0,0,0,0.3875598086124402,0.3875598086124402,0.0
5,0,0.4433497536945813,0.4433497536945813,0.0,0.5260115606936416,0.5260115606936416,0.0,0.38341968911917096,0.38341968911917096,0.0,0,0,0,0.4482758620689655,0.4482758620689655,0.0
6,0,0.23963133640552994,0.3548387096774194,0.3333333333333333,0.4008438818565401,0.4008438818565401,0.0,0.5141700404858299,0.5141700404858299,0.0,0,0,0,0.6495726495726496,0.6495726495726496,0.0
7,0,0.49079754601226994,0.49079754601226994,0.0,0.5398773006134969,0.5398773006134969,0.0,0.47540983606557374,0.47540983606557374,0.0,0,0,0,0.5202312138728323,0.5202312138728323,0.0
8,0,0.3241106719367589,0.3241106719367589,0.0,0.3568075117370892,0.3568075117370892,0.0,0.4484304932735426,0.4484304932735426,0.0,0,0,0,0.6339869281045751,0.6339869281045751,0.0
9,0,0.450261780104712,0.450261780104712,0.0,0.5087719298245614,0.5087719298245614,0.0,0.6018957345971564,0.6018957345971564,0.0,0,0,0,0.4527363184079602,0.4527363184079602,0.0
10,0,0.3776595744680851,0.3776595744680851,0.0,0.38306451612903225,0.4475806451612903,0.3333333333333333,0.5869565217391305,0.5869565217391305,0.0,0,0,0,0.5730337078651685,0.5730337078651685,0.0
11,0,0.40540540540540543,0.40540540540540543,0.0,0.3931297709923664,0.3931297709923664,0.0,0.4945054945054945,0.4945054945054945,0.0,0,0,0,0.5594059405940595,0.5594059405940595,0.0
12,0,0.36199095022624433,0.36199095022624433,0.0,0.40298507462686567,0.40298507462686567,0.0,0.6158940397350994,0.6158940397350994,0.0,0,0,0,0.5761589403973509,0.5761589403973509,0.0
13,0,0.31862745098039214,0.43137254901960786,0.3333333333333333,0.4094488188976378,0.4094488188976378,0.0,0.42213114754098363,0.42213114754098363,0.0,0,0,0,0.48598130841121495,0.48598130841121495,0.0
14,0,0.46226415094339623,0.46226415094339623,0.0,0.5824175824175825,0.5824175824175825,0.0,0.5164835164835165,0.5164835164835165,0.0,0,0,0,0.5104166666666666,0.5104166666666666,0.0
15,0,0.37640449438202245,0.37640449438202245,0.0,0.2644230769230769,0.3942307692307692,0.3333333333333333,0.4095744680851064,0.4095744680851064,0.0,0,0,0,0.6648936170212766,0.6648936170212766,0.0
16,0,0.4482758620689655,0.4482758620689655,0.0,0.6419753086419753,0.6419753086419753,0.0,0.40062111801242234,0.40062111801242234,0.0,0,0,0,0.40086206896551724,0.40086206896551724,0.0
17,0,0.2865853658536585,0.2865853658536585,0.0,0.34579439252336447,0.34579439252336447,0.0,0.33695652173913043,0.33695652173913043,0.3333333333333333,0,0,0,0.2696078431372549,0.2696078431372549,0.0
18,0,0.21739130434782608,0.33816425120772947,0.3333333333333333,0.535031847133758,0.535031847133758,0.0,0.2994350282485876,0.3728813559322034,0.3333333333333333,0,0,0,0.45989304812834225,0.45989304812834225,0.0
19,0,0.42231075697211157,0.42231075697211157,0.0,0.49783549783549785,0.49783549783549785,0.0,0.6243093922651933,0.6243093922651933,0.0,0,0,0,0.5592417061611374,0.5592417061611374,0.0
20,0,0.3739495798319328,0.3739495798319328,0.0,0.43258426966292135,0.43258426966292135,0.0,0.5505050505050505,0.5505050505050505,0.0,0,0,0,0.4579831932773109,0.4579831932773109,0.0
21,0,0.387434554973822,0.387434554973822,0.0,0.40397350993377484,0.6158940397350994,0.3333333333333333,0.3089005235602094,0.3612565445026178,0.3333333333333333,0,0,0,0.4329004329004329,0.4329004329004329,0.0
22,0,0.4594594594594595,0.4594594594594595,0.0,0.24888888888888888,0.27555555555555555,0.3333333333333333,0.5170731707317073,0.5170731707317073,0.0,0,0,0,0.45714285714285713,0.45714285714285713,0.0
23,0,0.455,0.455,0.0,0.4217391304347826,0.4217391304347826,0.0,0.5083333333333333,0.5083333333333333,0.0,0,0,0,0.6421052631578947,0.6421052631578947,0.0
24,0,0.5,0.5,0.0,0.5061728395061729,0.5679012345679012,0.3333333333333333,0.34191176470588236,0.34191176470588236,0.0,0,0,0,0.4065934065934066,0.5439560439560439,0.3333333333333333
25,0,0.3612565445026178,0.3612565445026178,0.0,0.34439834024896265,0.34439834024896265,0.0,0.6583850931677019,0.6583850931677019,0.0,0,0,0,0.39779005524861877,0.39779005524861877,0.0
26,0,0.4,0.4,0.0,0.19183673469387755,0.4,0.3333333333333333,0.5551020408163265,0.5551020408163265,0.0,0,0,0,0.3843137254901961,0.3843137254901961,0.0
27,0,0.22580645161290322,0.3456221198156682,0.3333333333333333,0.5482233502538071,0.5482233502538071,0.0,0.45454545454545453,0.45454545454545453,0.0,0,0,0,0.35379061371841153,0.35379061371841153,0.0
28,0,0.35365853658536583,0.35365853658536583,0.0,0.49029126213592233,0.49029126213592233,0.0,0.5528455284552846,0.5528455284552846,0.0,0,0,0,0.36574074074074076,0.5879629629629629,0.3333333333333333
29,0,0.3942857142857143,0.3942857142857143,0.0,0.29333333333333333,0.35555555555555557,0.3333333333333333,0.4774193548387097,0.4774193548387097,0.0,0,0,0,0.4533333333333333,0.4533333333333333,0.0
